"","country","study_num","max_depth_cm","Items_kg","latitude","longitude"
"495","China","13",10,195,30.3855,120.7408
"496","China","13",10,790,30.4249,120.8972
"497","China","13",10,300,30.5855,120.9596
"498","China","13",10,500,30.6345,121.1224
"499","China","13",10,2000,30.9402,121.5377
"500","China","13",10,390,30.9259,121.8303
"501","India ","14",5,100,23.2441,77.38699
"502","India ","14",5,30,23.24387,77.38475
"503","India ","14",5,170,23.24259,77.38135
"504","India ","14",5,150,23.24224,77.38
"505","India ","14",5,50,23.24154,77.37892
"506","India ","14",5,177,23.24097,77.37823
"507","India ","14",5,10,23.2418,77.37341
"508","India ","14",5,35,23.24093,77.36608
"509","India ","14",5,2,23.23822,77.36257
"510","India ","14",5,5,23.23723,77.36043
"511","India ","15",5,642.99,12.4775,74.99456
"512","India ","15",5,981.77,12.48228,74.99455
"513","India ","15",5,886.42,12.48465,74.98891
"514","India ","15",5,821.89,12.49151,74.9882
"515","India ","15",5,706.34,12.49968,74.98694
"516","India ","15",5,641.13,12.49047,74.97976
"517","India ","15",5,395.77,12.50399,74.98034
"518","India ","15",5,736.93,12.50253,74.98791
"519","India ","15",5,830.73,12.50529,74.99442
"520","Iran","16",3,730.02,35.46278,51.32389
"521","Iran","16",3,495,35.46333,51.31694
"522","Iran","16",3,442.5,35.46639,51.34194
"523","Iran","16",3,1375,35.46444,51.31778
"524","Iran","16",3,520,35.44583,51.32389
"525","Iran","16",3,410,35.4625,51.32417
"526","Iran","16",3,732.5,35.45722,51.33083
"527","Iran","16",3,2130,35.46139,51.32972
"528","Iran","16",3,1760,35.46167,51.31583
"529","Iran","16",3,550,35.46556,51.32306
"530","Iran","16",3,720,35.46611,51.325
"531","Iran","16",3,1212.5,35.46778,51.32333
"532","Iran","16",3,450,35.46667,51.32222
"533","Iran","16",3,510,35.46583,51.31833
"534","Iran","16",6,240,35.46278,51.32389
"535","Iran","16",6,315,35.46333,51.31694
"536","Iran","16",6,215,35.46639,51.34194
"537","Iran","16",6,495,35.46444,51.31778
"538","Iran","16",6,175,35.44583,51.32389
"539","Iran","16",6,200,35.4625,51.32417
"540","Iran","16",6,295,35.45722,51.33083
"541","Iran","16",6,625,35.46139,51.32972
"542","Iran","16",6,490,35.46167,51.31583
